Country Name,Country Code,Series Name,Series Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Pakistan,PAK,Annual methane emissions at operating coal mines (Mt CO2e 100 years),CC.COAL.EMIS.CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Pakistan,PAK,Annual methane emisssions at proposed coal projects (Mt CO2e 100 years),CC.COAL.EMPR.CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Pakistan,PAK,Arable land (% of land area),AG.LND.ARBL.ZS,,39.6689497716895,39.8116438356164,39.8635325861353,40.4732254047323,41.6147779161478,41.8482772934828,41.9131382316314,41.5239726027397,39.6170610211706,39.8246160232462,39.3316728933167,39.3576172685762,40.486197592362,39.6040888335409,39.9543378995434,39.5132835201328,39.7467828974678,40.4083644665836,40.2786425902864,41.6536944790369,40.4213366542134,42.9898298048983,40.2656704026567,41.6536944790369,41.1348069738481,39.0981735159817,40.5380863428809,38.8127853881278,39.4484225819842,38.5922581984226,38.6700913242009,38.8127853881278,39.2149232046492,39.2408675799087,39.5132835201328,39.6300332088003,40.2656704026567,40.3694479036945,40.3564757160648,40.2656704026567,40.6029472810295,40.4991697799917,40.4602532171025,39.318700705687,39.1370900788709,39.3316728933167,39.1500622665006,38.2160647571606,38.1641760066418,38.1252594437526,39.0462847654628,39.227895392279,39.5262557077626,39.4873391448734,39.4354503943545,40.2008094645081,40.486197592362,40.4213366542134,39.6040888335409,40.1229763387298,,
Pakistan,PAK,Average per capita transfer -All Social Protection and Labor (preT),per_allsp.avt_pop_preT_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27546447292265,,0.756627744466104,,,,0.926421738200356,,1.02340356022862,,,0.834103217388389,,,,
Pakistan,PAK,Average practical solar potential (kWh/kWp/day),CC.EG.SOLR.KW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7126,,,,
Pakistan,PAK,Average supply of protein of animal origin (g/cap/day),CC.PRO.ANI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22,22.3,22.7,23.3,23.7,24.3,24.7,25,25.3,25.7,26.3,26,25.7,25,25.3,25.7,,,,
Pakistan,PAK,Capacity of Liquefied Natural Gas export terminals (Mt per year) - Cancelled,CC.ECA.GAEX.CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Pakistan,PAK,Capacity of Liquefied Natural Gas export terminals (Mt per year) - In Development (Proposed + Construction),CC.ECA.GAEX.ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Pakistan,PAK,Capacity of Liquefied Natural Gas export terminals (Mt per year) - Operating,CC.ECA.GAEX.OP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Pakistan,PAK,Capacity of Liquefied Natural Gas export terminals (Mt per year) - Shelved,CC.ECA.GAEX.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Pakistan,PAK,Capacity of Liquefied Natural Gas import terminals (Mt per year) - Cancelled,CC.ECA.GAIM.CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,
Pakistan,PAK,Capacity of Liquefied Natural Gas import terminals (Mt per year) - In Development (Proposed + Construction),CC.ECA.GAIM.ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6,
Pakistan,PAK,Capacity of Liquefied Natural Gas import terminals (Mt per year) - Operating,CC.ECA.GAIM.OP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,
Pakistan,PAK,Capacity of Liquefied Natural Gas import terminals (Mt per year) - Shelved,CC.ECA.GAIM.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Pakistan,PAK,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7725350870327,76.0908289241623,74.5285767943305,78.910190522119,,,,,79.0846919843326,,66.7525020661532,,,,,,,,,,,,,,,,,,,,,,
Pakistan,PAK,Change in income (%) for bottom 40% of the population by impact - Agriculture Revenues (update),CC.CHIC.CFPI.AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,PAK,Change in income (%) for bottom 40% of the population by impact - All impacts (update),CC.CHIC.CFPI.AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,PAK,Change in income (%) for bottom 40% of the population by impact - Disasters (update),CC.CHIC.CFPI.DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,PAK,Change in income (%) for bottom 40% of the population by impact - Food prices (update),CC.CHIC.CFPI.FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,PAK,Change in income (%) for bottom 40% of the population by impact - Health (update),CC.CHIC.CFPI.HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,PAK,Change in income (%) for bottom 40% of the population by impact - Labor productivity (update),CC.CHIC.CFPI.LP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,PAK,"Change in income (%) for bottom 40% of the population by impact, by 2030 - Agriculture (original)",CC.CHIC.BTFP.AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,PAK,"Change in income (%) for bottom 40% of the population by impact, by 2030 - All Impacts (original)",CC.CHIC.BTFP.AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,PAK,"Change in income (%) for bottom 40% of the population by impact, by 2030 - Disasters (original)",CC.CHIC.BTFP.DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,PAK,"Change in income (%) for bottom 40% of the population by impact, by 2030 - Health (original)",CC.CHIC.BTFP.HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,PAK,"Change in income (%) for bottom 40% of the population by impact, by 2030 - Temperature (original)",CC.CHIC.BTFP.TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,PAK,Children under 5 years of age who are stunted (% of total),CC.CUF.STUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.6,,,,
Pakistan,PAK,CO2 emissions by sector (Mt CO2 eq) - Building,CC.CO2.EMSE.BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.56,8.25,7.61,7.98,8.58,9.47,9.68,10.67,10.71,12.44,11.34,11.36,11.34,11.46,12.57,12.99,13.76,14.87,15.38,15.57,16.12,17.57,19.35,18.28,18.92,19.27,20.31,20.26,20.82,,,,
Pakistan,PAK,CO2 emissions by sector (Mt CO2 eq) - Bunker Fuels,CC.CO2.EMSE.BF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,2.43,2.59,2.7,2.72,2.6,2.43,2.39,2.83,3.03,2.81,2.76,2.89,2.67,2.8,2.78,2.68,2.33,2.3,2.39,2.42,2.29,2.24,2.41,2.17,2.24,2.41,2.53,2.68,,,,
Pakistan,PAK,CO2 emissions by sector (Mt CO2 eq) - Electricity/Heat,CC.CO2.EMSE.EH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.02,17.69,20.29,22.49,23.43,26.63,27.4,29.55,28.41,32.98,34.45,35.4,35.26,31.63,35.83,37.42,42.51,43.38,43.23,45.42,41.35,40.18,41.47,44.54,44.94,45.14,49.37,55.9,59.76,,,,
Pakistan,PAK,CO2 emissions by sector (Mt CO2 eq) - Energy,CC.CO2.EMSE.EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,57.15,63.75,70.36,72.96,79.25,82.22,85.68,86.57,94.87,94.39,95.4,97.91,100.49,112.71,114.97,124.42,136.35,130.41,133.73,129.17,130.67,132.44,133.25,141.46,150.87,166.43,183.56,194.23,,,,
Pakistan,PAK,CO2 emissions by sector (Mt CO2 eq) - Fugitive Emissions,CC.CO2.EMSE.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.16,0.16,0.18,0.18,0.14,0.14,,,,
Pakistan,PAK,CO2 emissions by sector (Mt CO2 eq) - Industrial Processes,CC.CO2.EMSE.IP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.05,3.16,3.17,3.38,3.29,3.48,3.6,3.64,3.6,3.87,3.99,4.41,4.39,5.17,5.94,6.7,8.06,9.91,11.76,11.41,11.45,10.97,11.31,11.85,12.21,12.72,14.14,14.14,14.14,,,,
Pakistan,PAK,CO2 emissions by sector (Mt CO2 eq) - Land-Use Change and Forestry,CC.CO2.EMSE.LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,5.45,5.45,5.45,5.45,5.45,7,7,7,,,,
Pakistan,PAK,CO2 emissions by sector (Mt CO2 eq) - Manufacturing/Construction,CC.CO2.EMSE.MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,16.05,18.81,20.54,20.47,22.03,21.48,21.31,22.07,22.62,22.16,22.37,24.77,29.63,34.59,36.96,40.21,44.51,39.34,39.79,38.13,37.78,35.38,33.3,37.9,41.38,46.47,52.6,55.66,,,,
Pakistan,PAK,CO2 emissions by sector (Mt CO2 eq) - Other Fuel Combustion,CC.CO2.EMSE.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,0.87,0.92,0.94,1.01,0.88,0.88,0.8,0.81,0.95,0.83,0.75,0.67,0.64,0.46,0.4,0.35,0.38,0.28,0.26,0.21,0.18,0.31,0.37,0.47,0.84,0.97,0.82,0.87,,,,
Pakistan,PAK,CO2 emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.CO2.EMSE.EL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.05,60.31,66.92,73.74,76.25,82.73,85.82,89.32,90.17,98.75,98.37,99.81,102.3,105.66,118.65,121.67,132.48,146.26,142.16,145.14,140.62,141.64,143.75,145.1,153.67,163.59,180.57,197.7,208.37,,,,
Pakistan,PAK,CO2 emissions by sector (Mt CO2 eq) - Total including LUCF,CC.CO2.EMSE.IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.1,68.35,74.97,81.79,84.29,90.78,93.87,97.36,98.21,106.8,106.42,106.88,109.37,112.73,125.72,128.74,139.55,153.32,149.23,152.2,147.68,147.09,149.2,150.55,159.12,169.04,187.57,204.7,215.37,,,,
Pakistan,PAK,CO2 emissions by sector (Mt CO2 eq) - Transportation,CC.CO2.EMSE.TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.79,14.3,16.11,18.42,19.47,20.24,22.79,23.35,24.56,25.89,25.6,25.53,25.87,27.13,29.26,27.2,27.59,33.21,32.17,32.69,33.36,34.95,35.76,36.59,39.06,44.07,49.13,53.84,56.98,,,,
Pakistan,PAK,CO2 emissions per dollar of manufacturing value added (kgCO2 per constant 2010 US$),CC.EG.EMIS.MAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,1.42,1.5,1.68,1.72,1.59,1.59,1.62,1.35,1.42,1.34,1.3,1.19,1.07,1.15,1.21,1.33,1.41,,,,,
Pakistan,PAK,Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,,,,,,,,,,,,0.0257178191559844,0.0319733408296208,0.0525656005025725,0.0753378044273391,0.133641218540063,0.0939434094052919,0.0969246628562083,0.0707574649510442,0.0727138047243785,0.0998071966677859,0.129755808302164,0.137142822366573,0.0805787731261848,0.0673258569836903,0.0918914491833071,0.0644612964343202,0.0415602586693456,0.0583833853648287,0.0633026700002434,0.0762861802170352,0.0718040726802006,0.0607038922606983,0.0442576053919338,0.0417260948285915,0.0690947249494496,0.057984223012202,0.0444960290919605,0.0408243255114692,0.0284422754420395,0.0290882055181543,0.0511984171907464,0.0353751822233249,0.0353671886719712,0.105012387670112,0.0832000660866344,0.063191503900785,0.0897982149989926,0.156297503792675,0.067243213544705,0.0952492632714353,0.101189549690334,0.0605057142393951,0.0536243225840102,0.0473569293834523,0.038700872603072,0.0412695203110002,0.0509828992940491,0.0615249065643387,0.0570540627253063,0.0511780457029691,,
Pakistan,PAK,Comparative advantage in environmental goods (index),CC.ENV.GDS.CADV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.113865770222164,0.125255800579413,0.269733772458473,0.293055849647827,0.26972022769565,0.339719120675831,0.283245835748769,0.285951665118516,0.325014266357242,0.256421582704354,0.437478263850979,0.387780671929696,0.375685970948309,0.323132131856018,0.4219410506282,0.431928194862072,0.300902219619022,,,
Pakistan,PAK,Coverage (%) -All Social Protection and Labor,per_allsp.cov_pop_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.29362957266032,,18.7676294668437,,,,16.7993887051649,,16.0638697566835,,,21.86358855,,,,
Pakistan,PAK,Coverage in 1st quintile (poorest) (%) -All Social Protection and Labor,per_allsp.cov_q1_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06785980027517,,15.4473272986425,,,,21.2467479120788,,22.3871272352937,,,25.81303138,,,,
Pakistan,PAK,Electricity net consumption,CC.ELEC.CON,,,,,,,,,,,,,,,,,,,,,10.157,11.417,15.41,16.977,19.074,21.82,23.855,26.011,29.904,31.801,30.54,31.409,35.409,33.573242,39.864,38.852582,38.402,42.557,40.043,44.938,46.854,49.98,52.402,57.185,60.215,67.265,72.574,72.23,68.559,72.259,74.63382,73.96952,76.9101,82.692335,84.416472,89.864008,93.821922,93.16076,101.66852,103.49352,,,
Pakistan,PAK,Electricity net generation,CC.ELEC.GEN,,,,,,,,,,,,,,,,,,,,,14.512,15.56,19.808,21.917,24.563,26.487,29.046,32.26,37.076,38.75,36.348,39.563,46.241,45.118242,52.056,51.846582,52.256,57.855,59.941,62.492,63.4,68.859,72.443,77.483,81.143,89.625,94.315,90.773,87.728,90.967,89.67982,89.74952,92.9071,99.205335,101.600472,106.610008,116.907922,113.71476,117.94652,120.39552,117.082,,
Pakistan,PAK,Emission Totals - Direct emissions (N2O) - AFOLU,CC.DEN.AFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.2971,62.9806,66.8098,68.5165,70.7192,76.3472,76.8388,79.4873,80.575,83.6784,85.8425,86.745,89.5027,92.2497,95.4323,101.1729,104.832,104.5052,109.5105,120.0121,117.5259,119.7361,115.8758,124.1366,125.0444,127.4099,133.3551,141.647,144.3024,146.2695,,,
Pakistan,PAK,Emission Totals - Direct emissions (N2O) - Agricultural Soils,CC.DEN.AGS,,16.7175,17.1277,18.0176,18.7718,19.0801,20.4822,22.0639,23.3227,24.892,25.1216,26.8732,28.2334,28.4796,29.6077,31.8408,34.0539,35.9198,38.9456,41.8123,42.1538,42.9864,45.5488,45.8539,46.583,50.3876,56.7406,56.2622,57.9764,61.4093,62.2971,62.9806,66.8098,68.5165,70.7192,76.3472,76.8388,79.4873,80.575,83.6784,85.8425,86.745,89.5027,92.2497,95.4323,101.1729,104.832,104.5052,109.5105,120.0121,117.5259,119.7361,115.8758,124.1366,125.0444,127.4099,133.3551,141.647,144.3024,146.2695,,,
Pakistan,PAK,Emission Totals - Direct emissions (N2O) - Crop Residues,CC.DEN.CRE,,1.8897,1.9335,2.0071,2.0948,2.1904,2.0612,2.2256,2.7306,2.8669,2.9579,2.7776,2.8508,3.039,3.0352,3.1372,3.3634,3.5696,3.5064,3.8164,3.945,4.1518,4.1396,4.3641,4.0723,4.0954,4.6955,4.2422,4.4014,4.7863,4.7826,4.8029,4.9666,5.2938,5.0366,5.4946,5.563,5.5407,6.0618,5.9965,6.5051,5.8623,5.8537,6.2215,6.4028,6.958,6.8751,7.3589,7.3065,7.81,7.2017,7.9277,7.3851,8.022,8.391,8.2282,8.4495,8.7567,8.5095,8.5299,,,
Pakistan,PAK,Emission Totals - Direct emissions (N2O) - Emissions on agricultural land,CC.DEN.EAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.2971,62.9806,66.8098,68.5165,70.7192,76.3472,76.8388,79.4873,80.575,83.6784,85.8425,86.745,89.5027,92.2497,95.4323,101.1729,104.832,104.5052,109.5105,120.0121,117.5259,119.7361,115.8758,124.1366,125.0444,127.4099,133.3551,141.647,144.3024,146.2695,,,
Pakistan,PAK,Emission Totals - Direct emissions (N2O) - Farm-gate emissions,CC.DEN.FGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.2971,62.9806,66.8098,68.5165,70.7192,76.3472,76.8388,79.4873,80.575,83.6784,85.8425,86.745,89.5027,92.2497,95.4323,101.1729,104.832,104.5052,109.5105,120.0121,117.5259,119.7361,115.8758,124.1366,125.0444,127.4099,133.3551,141.647,144.3024,146.2695,,,
Pakistan,PAK,Emission Totals - Direct emissions (N2O) - IPCC Agriculture,CC.DEN.IPA,,16.7175,17.1277,18.0176,18.7718,19.0801,20.4822,22.0639,23.3227,24.892,25.1216,26.8732,28.2334,28.4796,29.6077,31.8408,34.0539,35.9198,38.9456,41.8123,42.1538,42.9864,45.5488,45.8539,46.583,50.3876,56.7406,56.2622,57.9764,61.4093,62.2971,62.9806,66.8098,68.5165,70.7192,76.3472,76.8388,79.4873,80.575,83.6784,85.8425,86.745,89.5027,92.2497,95.4323,101.1729,104.832,104.5052,109.5105,120.0121,117.5259,119.7361,115.8758,124.1366,125.0444,127.4099,133.3551,141.647,144.3024,146.2695,,,
